Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::BaselineMapper
2,Restaurant 1,URBANopt::Scenario::BaselineMapper
3,Residential 1,URBANopt::Scenario::ResidentialMapper
4,Residential 2,URBANopt::Scenario::ResidentialMapper
5,Residential 4 ,URBANopt::Scenario::ResidentialMapper
6,Residential 5,URBANopt::Scenario::ResidentialMapper
7,Office 1,URBANopt::Scenario::BaselineMapper
8,Hospital 1,URBANopt::Scenario::BaselineMapper
9,Hospital 2,URBANopt::Scenario::BaselineMapper
10,Mixed use 2,URBANopt::Scenario::BaselineMapper
11,Residential 3,URBANopt::Scenario::ResidentialMapper
12,Mall 1,URBANopt::Scenario::BaselineMapper
13,Hotel 1,URBANopt::Scenario::BaselineMapper
14,Residential 6,URBANopt::Scenario::ResidentialMapper
