Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::FlexibleHotWaterMapper
2,Restaurant 1,URBANopt::Scenario::FlexibleHotWaterMapper
3,Restaurant 10,URBANopt::Scenario::FlexibleHotWaterMapper
4,Restaurant 12,URBANopt::Scenario::FlexibleHotWaterMapper
5,Restaurant 14,URBANopt::Scenario::FlexibleHotWaterMapper
6,Restaurant 15,URBANopt::Scenario::FlexibleHotWaterMapper
7,Office 1,URBANopt::Scenario::FlexibleHotWaterMapper
8,Hospital 1,URBANopt::Scenario::FlexibleHotWaterMapper
9,Hospital 2,URBANopt::Scenario::FlexibleHotWaterMapper
10,Mixed use 2,URBANopt::Scenario::FlexibleHotWaterMapper
11,Restaurant 13,URBANopt::Scenario::FlexibleHotWaterMapper
12,Mall 1,URBANopt::Scenario::FlexibleHotWaterMapper
13,Hotel 1,URBANopt::Scenario::FlexibleHotWaterMapper
14,Residential 1,URBANopt::Scenario::FlexibleHotWaterMapper
15,Residential 2,URBANopt::Scenario::FlexibleHotWaterMapper
16,Residential 3,URBANopt::Scenario::FlexibleHotWaterMapper
17,Residential 4,URBANopt::Scenario::FlexibleHotWaterMapper
18,Residential 5,URBANopt::Scenario::FlexibleHotWaterMapper
