Feature Id,Feature Name,Mapper Class
1,office_1,URBANopt::Scenario::FloorspaceMapper
2,office_2,URBANopt::Scenario::FloorspaceMapper
3,office_3,URBANopt::Scenario::FloorspaceMapper
4,office_4,URBANopt::Scenario::FloorspaceMapper
5,office_5,URBANopt::Scenario::FloorspaceMapper
6,office_6,URBANopt::Scenario::FloorspaceMapper
7,office_7,URBANopt::Scenario::FloorspaceMapper
8,mixed use_1,URBANopt::Scenario::FloorspaceMapper
9,mixed use_2,URBANopt::Scenario::FloorspaceMapper
10,mall_1,URBANopt::Scenario::FloorspaceMapper
11,mall_2,URBANopt::Scenario::FloorspaceMapper
12,school_1,URBANopt::Scenario::FloorspaceMapper
13,school_2,URBANopt::Scenario::FloorspaceMapper
14,school_3,URBANopt::Scenario::FloorspaceMapper
15,school_4,URBANopt::Scenario::FloorspaceMapper
16,super market_1,URBANopt::Scenario::FloorspaceMapper
17,super market_2,URBANopt::Scenario::FloorspaceMapper
18,super market_3,URBANopt::Scenario::FloorspaceMapper
19,hospital_1,URBANopt::Scenario::FloorspaceMapper
20,hospital_2,URBANopt::Scenario::FloorspaceMapper
21,hospital_3,URBANopt::Scenario::FloorspaceMapper
22,hospital_4,URBANopt::Scenario::FloorspaceMapper
23,hospital_5,URBANopt::Scenario::FloorspaceMapper
24,hospital_6,URBANopt::Scenario::FloorspaceMapper
25,hospital_7,URBANopt::Scenario::FloorspaceMapper
26,restaurant_1,URBANopt::Scenario::FloorspaceMapper
27,restaurant_2,URBANopt::Scenario::FloorspaceMapper
28,restaurant_3,URBANopt::Scenario::FloorspaceMapper
29,restaurant_4,URBANopt::Scenario::FloorspaceMapper
30,restaurant_5,URBANopt::Scenario::FloorspaceMapper
31,restaurant_6,URBANopt::Scenario::FloorspaceMapper
32,restaurant_7,URBANopt::Scenario::FloorspaceMapper
33,restaurant_8,URBANopt::Scenario::FloorspaceMapper
34,restaurant_9,URBANopt::Scenario::FloorspaceMapper
35,restaurant_10,URBANopt::Scenario::FloorspaceMapper
36,restaurant_11,URBANopt::Scenario::FloorspaceMapper
37,restaurant_12,URBANopt::Scenario::FloorspaceMapper
38,hotel_1,URBANopt::Scenario::FloorspaceMapper
39,hotel_2,URBANopt::Scenario::FloorspaceMapper
40,res_6,URBANopt::Scenario::FloorspaceMapper
41,res_5,URBANopt::Scenario::FloorspaceMapper
42,res_4,URBANopt::Scenario::FloorspaceMapper
43,res_3,URBANopt::Scenario::FloorspaceMapper
44,res_2,URBANopt::Scenario::FloorspaceMapper
45,res_1,URBANopt::Scenario::FloorspaceMapper
46,res_8,URBANopt::Scenario::FloorspaceMapper
47,res_9,URBANopt::Scenario::FloorspaceMapper
48,res_10,URBANopt::Scenario::FloorspaceMapper
49,res_11,URBANopt::Scenario::FloorspaceMapper
50,res_12,URBANopt::Scenario::FloorspaceMapper
51,res_13,URBANopt::Scenario::FloorspaceMapper
52,res_14,URBANopt::Scenario::FloorspaceMapper
53,res_15,URBANopt::Scenario::FloorspaceMapper
54,res_16,URBANopt::Scenario::FloorspaceMapper
55,res_17,URBANopt::Scenario::FloorspaceMapper
56,res_18,URBANopt::Scenario::FloorspaceMapper
57,res_19,URBANopt::Scenario::FloorspaceMapper
58,res_20,URBANopt::Scenario::FloorspaceMapper
59,res_21,URBANopt::Scenario::FloorspaceMapper
60,res_22,URBANopt::Scenario::FloorspaceMapper
61,res_23,URBANopt::Scenario::FloorspaceMapper
62,res_24,URBANopt::Scenario::FloorspaceMapper
63,res_25,URBANopt::Scenario::FloorspaceMapper
64,res_26,URBANopt::Scenario::FloorspaceMapper
65,res_27,URBANopt::Scenario::FloorspaceMapper
66,res_28,URBANopt::Scenario::FloorspaceMapper
67,res_29,URBANopt::Scenario::FloorspaceMapper
68,res_30,URBANopt::Scenario::FloorspaceMapper
69,res_31,URBANopt::Scenario::FloorspaceMapper
70,res_32,URBANopt::Scenario::FloorspaceMapper
71,res_33,URBANopt::Scenario::FloorspaceMapper
72,res_34,URBANopt::Scenario::FloorspaceMapper
73,res_35,URBANopt::Scenario::FloorspaceMapper
74,res_36,URBANopt::Scenario::FloorspaceMapper
75,res_37,URBANopt::Scenario::FloorspaceMapper
76,res_38,URBANopt::Scenario::FloorspaceMapper
77,res_39,URBANopt::Scenario::FloorspaceMapper
78,res_40,URBANopt::Scenario::FloorspaceMapper
79,res_41,URBANopt::Scenario::FloorspaceMapper
80,res_42,URBANopt::Scenario::FloorspaceMapper
81,res_43,URBANopt::Scenario::FloorspaceMapper
82,res_44,URBANopt::Scenario::FloorspaceMapper
83,res_45,URBANopt::Scenario::FloorspaceMapper
84,res_46,URBANopt::Scenario::FloorspaceMapper
85,res_47,URBANopt::Scenario::FloorspaceMapper
86,res_48,URBANopt::Scenario::FloorspaceMapper
87,res_49,URBANopt::Scenario::FloorspaceMapper
88,res_50,URBANopt::Scenario::FloorspaceMapper
89,res_51,URBANopt::Scenario::FloorspaceMapper
90,res_52,URBANopt::Scenario::FloorspaceMapper
91,res_53,URBANopt::Scenario::FloorspaceMapper
92,res_54,URBANopt::Scenario::FloorspaceMapper
93,res_55,URBANopt::Scenario::FloorspaceMapper
94,res_56,URBANopt::Scenario::FloorspaceMapper
95,res_57,URBANopt::Scenario::FloorspaceMapper
96,res_58,URBANopt::Scenario::FloorspaceMapper
97,res_59,URBANopt::Scenario::FloorspaceMapper
98,res_60,URBANopt::Scenario::FloorspaceMapper
99,res_61,URBANopt::Scenario::FloorspaceMapper
100,res_62,URBANopt::Scenario::FloorspaceMapper
101,res_63,URBANopt::Scenario::FloorspaceMapper
102,res_64,URBANopt::Scenario::FloorspaceMapper
103,res_65,URBANopt::Scenario::FloorspaceMapper
104,res_66,URBANopt::Scenario::FloorspaceMapper
105,res_67,URBANopt::Scenario::FloorspaceMapper
106,res_68,URBANopt::Scenario::FloorspaceMapper
107,res_69,URBANopt::Scenario::FloorspaceMapper
108,res_70,URBANopt::Scenario::FloorspaceMapper
109,res_71,URBANopt::Scenario::FloorspaceMapper
110,res_72,URBANopt::Scenario::FloorspaceMapper
111,res_73,URBANopt::Scenario::FloorspaceMapper
112,res_74,URBANopt::Scenario::FloorspaceMapper
113,res_75,URBANopt::Scenario::FloorspaceMapper
114,res_76,URBANopt::Scenario::FloorspaceMapper
115,res_77,URBANopt::Scenario::FloorspaceMapper
116,res_78,URBANopt::Scenario::FloorspaceMapper
117,res_79,URBANopt::Scenario::FloorspaceMapper
118,res_80,URBANopt::Scenario::FloorspaceMapper
119,res_81,URBANopt::Scenario::FloorspaceMapper
120,res_82,URBANopt::Scenario::FloorspaceMapper
121,res_83,URBANopt::Scenario::FloorspaceMapper
122,res_84,URBANopt::Scenario::FloorspaceMapper
123,res_85,URBANopt::Scenario::FloorspaceMapper
124,res_86,URBANopt::Scenario::FloorspaceMapper
125,res_87,URBANopt::Scenario::FloorspaceMapper
126,res_88,URBANopt::Scenario::FloorspaceMapper
127,res_89,URBANopt::Scenario::FloorspaceMapper
128,res_90,URBANopt::Scenario::FloorspaceMapper
129,res_91,URBANopt::Scenario::FloorspaceMapper
130,res_92,URBANopt::Scenario::FloorspaceMapper
131,res_93,URBANopt::Scenario::FloorspaceMapper
132,res_94,URBANopt::Scenario::FloorspaceMapper
133,res_95,URBANopt::Scenario::FloorspaceMapper
134,res_96,URBANopt::Scenario::FloorspaceMapper
135,res_97,URBANopt::Scenario::FloorspaceMapper
136,res_98,URBANopt::Scenario::FloorspaceMapper
137,res_99,URBANopt::Scenario::FloorspaceMapper
138,res_100,URBANopt::Scenario::FloorspaceMapper
139,res_101,URBANopt::Scenario::FloorspaceMapper
140,res_102,URBANopt::Scenario::FloorspaceMapper
141,res_103,URBANopt::Scenario::FloorspaceMapper
142,res_104,URBANopt::Scenario::FloorspaceMapper
143,res_105,URBANopt::Scenario::FloorspaceMapper
144,res_106,URBANopt::Scenario::FloorspaceMapper
145,res_107,URBANopt::Scenario::FloorspaceMapper
146,res_108,URBANopt::Scenario::FloorspaceMapper
147,res_109,URBANopt::Scenario::FloorspaceMapper
148,res_110,URBANopt::Scenario::FloorspaceMapper
149,res_111,URBANopt::Scenario::FloorspaceMapper
150,res_112,URBANopt::Scenario::FloorspaceMapper
151,res_113,URBANopt::Scenario::FloorspaceMapper
152,res_114,URBANopt::Scenario::FloorspaceMapper
153,res_115,URBANopt::Scenario::FloorspaceMapper
154,res_116,URBANopt::Scenario::FloorspaceMapper
155,res_117,URBANopt::Scenario::FloorspaceMapper
156,res_118,URBANopt::Scenario::FloorspaceMapper
157,res_119,URBANopt::Scenario::FloorspaceMapper
158,res_120,URBANopt::Scenario::FloorspaceMapper
159,res_121,URBANopt::Scenario::FloorspaceMapper
160,res_122,URBANopt::Scenario::FloorspaceMapper
161,res_123,URBANopt::Scenario::FloorspaceMapper
162,res_124,URBANopt::Scenario::FloorspaceMapper
163,res_125,URBANopt::Scenario::FloorspaceMapper
164,res_126,URBANopt::Scenario::FloorspaceMapper
165,res_127,URBANopt::Scenario::FloorspaceMapper
166,res_128,URBANopt::Scenario::FloorspaceMapper
167,res_129,URBANopt::Scenario::FloorspaceMapper
168,res_130,URBANopt::Scenario::FloorspaceMapper
169,res_131,URBANopt::Scenario::FloorspaceMapper
170,res_132,URBANopt::Scenario::FloorspaceMapper
171,res_133,URBANopt::Scenario::FloorspaceMapper
172,res_134,URBANopt::Scenario::FloorspaceMapper
173,res_135,URBANopt::Scenario::FloorspaceMapper
174,res_136,URBANopt::Scenario::FloorspaceMapper
