Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::HighEfficiencyMapper
2,Restaurant 1,URBANopt::Scenario::HighEfficiencyMapper
3,Restaurant 10,URBANopt::Scenario::HighEfficiencyMapper
4,Restaurant 12,URBANopt::Scenario::HighEfficiencyMapper
5,Restaurant 14,URBANopt::Scenario::HighEfficiencyMapper
6,Restaurant 15,URBANopt::Scenario::HighEfficiencyMapper
7,Office 1,URBANopt::Scenario::HighEfficiencyMapper
8,Hospital 1,URBANopt::Scenario::HighEfficiencyMapper
9,Hospital 2,URBANopt::Scenario::HighEfficiencyMapper
10,Mixed use 2,URBANopt::Scenario::HighEfficiencyMapper
11,Restaurant 13,URBANopt::Scenario::HighEfficiencyMapper
12,Mall 1,URBANopt::Scenario::HighEfficiencyMapper
13,Hotel 1,URBANopt::Scenario::HighEfficiencyMapper
14,Residential 1,URBANopt::Scenario::HighEfficiencyMapper
15,Residential 2,URBANopt::Scenario::HighEfficiencyMapper
16,Residential 3,URBANopt::Scenario::HighEfficiencyMapper
17,Residential 4,URBANopt::Scenario::HighEfficiencyMapper
18,Residential 5,URBANopt::Scenario::HighEfficiencyMapper
