Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
2,Restaurant 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
3,Restaurant 10,URBANopt::Scenario::HighEfficiencyCreateBarMapper
4,Restaurant 12,URBANopt::Scenario::HighEfficiencyCreateBarMapper
5,Restaurant 14,URBANopt::Scenario::HighEfficiencyCreateBarMapper
6,Restaurant 15,URBANopt::Scenario::HighEfficiencyCreateBarMapper
7,Office 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
8,Hospital 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
9,Hospital 2,URBANopt::Scenario::HighEfficiencyCreateBarMapper
10,Mixed use 2,URBANopt::Scenario::HighEfficiencyCreateBarMapper
11,Restaurant 13,URBANopt::Scenario::HighEfficiencyCreateBarMapper
12,Mall 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
13,Hotel 1,URBANopt::Scenario::HighEfficiencyCreateBarMapper
