Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
2,Restaurant 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
3,Restaurant 10,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
4,Restaurant 12,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
5,Restaurant 14,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
6,Restaurant 15,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
7,Office 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
8,Hospital 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
9,Hospital 2,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
10,Mixed use 2,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
11,Restaurant 13,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
12,Mall 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
13,Hotel 1,URBANopt::Scenario::HighEfficiencyFloorspaceMapper
