Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
2,Restaurant 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
3,Restaurant 10,URBANopt::Scenario::PeakHoursMelsSheddingMapper
4,Restaurant 12,URBANopt::Scenario::PeakHoursMelsSheddingMapper
5,Restaurant 14,URBANopt::Scenario::PeakHoursMelsSheddingMapper
6,Restaurant 15,URBANopt::Scenario::PeakHoursMelsSheddingMapper
7,Office 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
8,Hospital 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
9,Hospital 2,URBANopt::Scenario::PeakHoursMelsSheddingMapper
10,Mixed use 2,URBANopt::Scenario::PeakHoursMelsSheddingMapper
11,Restaurant 13,URBANopt::Scenario::PeakHoursMelsSheddingMapper
12,Mall 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
13,Hotel 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
14,Residential 1,URBANopt::Scenario::PeakHoursMelsSheddingMapper
15,Residential 2,URBANopt::Scenario::PeakHoursMelsSheddingMapper
16,Residential 3,URBANopt::Scenario::PeakHoursMelsSheddingMapper
17,Residential 4,URBANopt::Scenario::PeakHoursMelsSheddingMapper
18,Residential 5,URBANopt::Scenario::PeakHoursMelsSheddingMapper
