long_name,original_FIP
"AL, Autauga County",G0100010
"AL, Baldwin County",G0100030
"AL, Barbour County",G0100050
"AL, Bibb County",G0100070
"AL, Blount County",G0100090
"AL, Bullock County",G0100110
"AL, Butler County",G0100130
"AL, Calhoun County",G0100150
"AL, Chambers County",G0100170
"AL, Cherokee County",G0100190
"AL, Chilton County",G0100210
"AL, Choctaw County",G0100230
"AL, Clarke County",G0100250
"AL, Clay County",G0100270
"AL, Cleburne County",G0100290
"AL, Coffee County",G0100310
"AL, Colbert County",G0100330
"AL, Conecuh County",G0100350
"AL, Coosa County",G0100370
"AL, Covington County",G0100390
"AL, Crenshaw County",G0100410
"AL, Cullman County",G0100430
"AL, Dale County",G0100450
"AL, Dallas County",G0100470
"AL, DeKalb County",G0100490
"AL, Elmore County",G0100510
"AL, Escambia County",G0100530
"AL, Etowah County",G0100550
"AL, Fayette County",G0100570
"AL, Franklin County",G0100590
"AL, Geneva County",G0100610
"AL, Greene County",G0100630
"AL, Hale County",G0100650
"AL, Henry County",G0100670
"AL, Houston County",G0100690
"AL, Jackson County",G0100710
"AL, Jefferson County",G0100730
"AL, Lamar County",G0100750
"AL, Lauderdale County",G0100770
"AL, Lawrence County",G0100790
"AL, Lee County",G0100810
"AL, Limestone County",G0100830
"AL, Lowndes County",G0100850
"AL, Macon County",G0100870
"AL, Madison County",G0100890
"AL, Marengo County",G0100910
"AL, Marion County",G0100930
"AL, Marshall County",G0100950
"AL, Mobile County",G0100970
"AL, Monroe County",G0100990
"AL, Montgomery County",G0101010
"AL, Morgan County",G0101030
"AL, Perry County",G0101050
"AL, Pickens County",G0101070
"AL, Pike County",G0101090
"AL, Randolph County",G0101110
"AL, Russell County",G0101130
"AL, St. Clair County",G0101150
"AL, Shelby County",G0101170
"AL, Sumter County",G0101190
"AL, Talladega County",G0101210
"AL, Tallapoosa County",G0101230
"AL, Tuscaloosa County",G0101250
"AL, Walker County",G0101270
"AL, Washington County",G0101290
"AL, Wilcox County",G0101310
"AL, Winston County",G0101330
"AZ, Apache County",G0400010
"AZ, Cochise County",G0400030
"AZ, Coconino County",G0400050
"AZ, Gila County",G0400070
"AZ, Graham County",G0400090
"AZ, Greenlee County",G0400110
"AZ, La Paz County",G0400120
"AZ, Maricopa County",G0400130
"AZ, Mohave County",G0400150
"AZ, Navajo County",G0400170
"AZ, Pima County",G0400190
"AZ, Pinal County",G0400210
"AZ, Santa Cruz County",G0400230
"AZ, Yavapai County",G0400250
"AZ, Yuma County",G0400270
"AR, Arkansas County",G0500010
"AR, Ashley County",G0500030
"AR, Baxter County",G0500050
"AR, Benton County",G0500070
"AR, Boone County",G0500090
"AR, Bradley County",G0500110
"AR, Calhoun County",G0500130
"AR, Carroll County",G0500150
"AR, Chicot County",G0500170
"AR, Clark County",G0500190
"AR, Clay County",G0500210
"AR, Cleburne County",G0500230
"AR, Cleveland County",G0500250
"AR, Columbia County",G0500270
"AR, Conway County",G0500290
"AR, Craighead County",G0500310
"AR, Crawford County",G0500330
"AR, Crittenden County",G0500350
"AR, Cross County",G0500370
"AR, Dallas County",G0500390
"AR, Desha County",G0500410
"AR, Drew County",G0500430
"AR, Faulkner County",G0500450
"AR, Franklin County",G0500470
"AR, Fulton County",G0500490
"AR, Garland County",G0500510
"AR, Grant County",G0500530
"AR, Greene County",G0500550
"AR, Hempstead County",G0500570
"AR, Hot Spring County",G0500590
"AR, Howard County",G0500610
"AR, Independence County",G0500630
"AR, Izard County",G0500650
"AR, Jackson County",G0500670
"AR, Jefferson County",G0500690
"AR, Johnson County",G0500710
"AR, Lafayette County",G0500730
"AR, Lawrence County",G0500750
"AR, Lee County",G0500770
"AR, Lincoln County",G0500790
"AR, Little River County",G0500810
"AR, Logan County",G0500830
"AR, Lonoke County",G0500850
"AR, Madison County",G0500870
"AR, Marion County",G0500890
"AR, Miller County",G0500910
"AR, Mississippi County",G0500930
"AR, Monroe County",G0500950
"AR, Montgomery County",G0500970
"AR, Nevada County",G0500990
"AR, Newton County",G0501010
"AR, Ouachita County",G0501030
"AR, Perry County",G0501050
"AR, Phillips County",G0501070
"AR, Pike County",G0501090
"AR, Poinsett County",G0501110
"AR, Polk County",G0501130
"AR, Pope County",G0501150
"AR, Prairie County",G0501170
"AR, Pulaski County",G0501190
"AR, Randolph County",G0501210
"AR, St. Francis County",G0501230
"AR, Saline County",G0501250
"AR, Scott County",G0501270
"AR, Searcy County",G0501290
"AR, Sebastian County",G0501310
"AR, Sevier County",G0501330
"AR, Sharp County",G0501350
"AR, Stone County",G0501370
"AR, Union County",G0501390
"AR, Van Buren County",G0501410
"AR, Washington County",G0501430
"AR, White County",G0501450
"AR, Woodruff County",G0501470
"AR, Yell County",G0501490
"CA, Alameda County",G0600010
"CA, Alpine County",G0600030
"CA, Amador County",G0600050
"CA, Butte County",G0600070
"CA, Calaveras County",G0600090
"CA, Colusa County",G0600110
"CA, Contra Costa County",G0600130
"CA, Del Norte County",G0600150
"CA, El Dorado County",G0600170
"CA, Fresno County",G0600190
"CA, Glenn County",G0600210
"CA, Humboldt County",G0600230
"CA, Imperial County",G0600250
"CA, Inyo County",G0600270
"CA, Kern County",G0600290
"CA, Kings County",G0600310
"CA, Lake County",G0600330
"CA, Lassen County",G0600350
"CA, Los Angeles County",G0600370
"CA, Madera County",G0600390
"CA, Marin County",G0600410
"CA, Mariposa County",G0600430
"CA, Mendocino County",G0600450
"CA, Merced County",G0600470
"CA, Modoc County",G0600490
"CA, Mono County",G0600510
"CA, Monterey County",G0600530
"CA, Napa County",G0600550
"CA, Nevada County",G0600570
"CA, Orange County",G0600590
"CA, Placer County",G0600610
"CA, Plumas County",G0600630
"CA, Riverside County",G0600650
"CA, Sacramento County",G0600670
"CA, San Benito County",G0600690
"CA, San Bernardino County",G0600710
"CA, San Diego County",G0600730
"CA, San Francisco County",G0600750
"CA, San Joaquin County",G0600770
"CA, San Luis Obispo County",G0600790
"CA, San Mateo County",G0600810
"CA, Santa Barbara County",G0600830
"CA, Santa Clara County",G0600850
"CA, Santa Cruz County",G0600870
"CA, Shasta County",G0600890
"CA, Sierra County",G0600910
"CA, Siskiyou County",G0600930
"CA, Solano County",G0600950
"CA, Sonoma County",G0600970
"CA, Stanislaus County",G0600990
"CA, Sutter County",G0601010
"CA, Tehama County",G0601030
"CA, Trinity County",G0601050
"CA, Tulare County",G0601070
"CA, Tuolumne County",G0601090
"CA, Ventura County",G0601110
"CA, Yolo County",G0601130
"CA, Yuba County",G0601150
"CO, Adams County",G0800010
"CO, Alamosa County",G0800030
"CO, Arapahoe County",G0800050
"CO, Archuleta County",G0800070
"CO, Baca County",G0800090
"CO, Bent County",G0800110
"CO, Boulder County",G0800130
"CO, Broomfield County",G0800140
"CO, Chaffee County",G0800150
"CO, Cheyenne County",G0800170
"CO, Clear Creek County",G0800190
"CO, Conejos County",G0800210
"CO, Costilla County",G0800230
"CO, Crowley County",G0800250
"CO, Custer County",G0800270
"CO, Delta County",G0800290
"CO, Denver County",G0800310
"CO, Dolores County",G0800330
"CO, Douglas County",G0800350
"CO, Eagle County",G0800370
"CO, Elbert County",G0800390
"CO, El Paso County",G0800410
"CO, Fremont County",G0800430
"CO, Garfield County",G0800450
"CO, Gilpin County",G0800470
"CO, Grand County",G0800490
"CO, Gunnison County",G0800510
"CO, Hinsdale County",G0800530
"CO, Huerfano County",G0800550
"CO, Jackson County",G0800570
"CO, Jefferson County",G0800590
"CO, Kiowa County",G0800610
"CO, Kit Carson County",G0800630
"CO, Lake County",G0800650
"CO, La Plata County",G0800670
"CO, Larimer County",G0800690
"CO, Las Animas County",G0800710
"CO, Lincoln County",G0800730
"CO, Logan County",G0800750
"CO, Mesa County",G0800770
"CO, Mineral County",G0800790
"CO, Moffat County",G0800810
"CO, Montezuma County",G0800830
"CO, Montrose County",G0800850
"CO, Morgan County",G0800870
"CO, Otero County",G0800890
"CO, Ouray County",G0800910
"CO, Park County",G0800930
"CO, Phillips County",G0800950
"CO, Pitkin County",G0800970
"CO, Prowers County",G0800990
"CO, Pueblo County",G0801010
"CO, Rio Blanco County",G0801030
"CO, Rio Grande County",G0801050
"CO, Routt County",G0801070
"CO, Saguache County",G0801090
"CO, San Juan County",G0801110
"CO, San Miguel County",G0801130
"CO, Sedgwick County",G0801150
"CO, Summit County",G0801170
"CO, Teller County",G0801190
"CO, Washington County",G0801210
"CO, Weld County",G0801230
"CO, Yuma County",G0801250
"CT, Fairfield County",G0900010
"CT, Hartford County",G0900030
"CT, Litchfield County",G0900050
"CT, Middlesex County",G0900070
"CT, New Haven County",G0900090
"CT, New London County",G0900110
"CT, Tolland County",G0900130
"CT, Windham County",G0900150
"DE, Kent County",G1000010
"DE, New Castle County",G1000030
"DE, Sussex County",G1000050
"DC, District of Columbia",G1100010
"FL, Alachua County",G1200010
"FL, Baker County",G1200030
"FL, Bay County",G1200050
"FL, Bradford County",G1200070
"FL, Brevard County",G1200090
"FL, Broward County",G1200110
"FL, Calhoun County",G1200130
"FL, Charlotte County",G1200150
"FL, Citrus County",G1200170
"FL, Clay County",G1200190
"FL, Collier County",G1200210
"FL, Columbia County",G1200230
"FL, DeSoto County",G1200270
"FL, Dixie County",G1200290
"FL, Duval County",G1200310
"FL, Escambia County",G1200330
"FL, Flagler County",G1200350
"FL, Franklin County",G1200370
"FL, Gadsden County",G1200390
"FL, Gilchrist County",G1200410
"FL, Glades County",G1200430
"FL, Gulf County",G1200450
"FL, Hamilton County",G1200470
"FL, Hardee County",G1200490
"FL, Hendry County",G1200510
"FL, Hernando County",G1200530
"FL, Highlands County",G1200550
"FL, Hillsborough County",G1200570
"FL, Holmes County",G1200590
"FL, Indian River County",G1200610
"FL, Jackson County",G1200630
"FL, Jefferson County",G1200650
"FL, Lafayette County",G1200670
"FL, Lake County",G1200690
"FL, Lee County",G1200710
"FL, Leon County",G1200730
"FL, Levy County",G1200750
"FL, Liberty County",G1200770
"FL, Madison County",G1200790
"FL, Manatee County",G1200810
"FL, Marion County",G1200830
"FL, Martin County",G1200850
"FL, Miami-Dade County",G1200860
"FL, Monroe County",G1200870
"FL, Nassau County",G1200890
"FL, Okaloosa County",G1200910
"FL, Okeechobee County",G1200930
"FL, Orange County",G1200950
"FL, Osceola County",G1200970
"FL, Palm Beach County",G1200990
"FL, Pasco County",G1201010
"FL, Pinellas County",G1201030
"FL, Polk County",G1201050
"FL, Putnam County",G1201070
"FL, St. Johns County",G1201090
"FL, St. Lucie County",G1201110
"FL, Santa Rosa County",G1201130
"FL, Sarasota County",G1201150
"FL, Seminole County",G1201170
"FL, Sumter County",G1201190
"FL, Suwannee County",G1201210
"FL, Taylor County",G1201230
"FL, Union County",G1201250
"FL, Volusia County",G1201270
"FL, Wakulla County",G1201290
"FL, Walton County",G1201310
"FL, Washington County",G1201330
"GA, Appling County",G1300010
"GA, Atkinson County",G1300030
"GA, Bacon County",G1300050
"GA, Baker County",G1300070
"GA, Baldwin County",G1300090
"GA, Banks County",G1300110
"GA, Barrow County",G1300130
"GA, Bartow County",G1300150
"GA, Ben Hill County",G1300170
"GA, Berrien County",G1300190
"GA, Bibb County",G1300210
"GA, Bleckley County",G1300230
"GA, Brantley County",G1300250
"GA, Brooks County",G1300270
"GA, Bryan County",G1300290
"GA, Bulloch County",G1300310
"GA, Burke County",G1300330
"GA, Butts County",G1300350
"GA, Calhoun County",G1300370
"GA, Camden County",G1300390
"GA, Candler County",G1300430
"GA, Carroll County",G1300450
"GA, Catoosa County",G1300470
"GA, Charlton County",G1300490
"GA, Chatham County",G1300510
"GA, Chattahoochee County",G1300530
"GA, Chattooga County",G1300550
"GA, Cherokee County",G1300570
"GA, Clarke County",G1300590
"GA, Clay County",G1300610
"GA, Clayton County",G1300630
"GA, Clinch County",G1300650
"GA, Cobb County",G1300670
"GA, Coffee County",G1300690
"GA, Colquitt County",G1300710
"GA, Columbia County",G1300730
"GA, Cook County",G1300750
"GA, Coweta County",G1300770
