Column Type,Annual Name,Annual Units,Published Annual Name,Published Annual Name Sightglass,Published Annual Unit,ResStock To Published Annual Unit Conversion Factor,Timeseries Name,Timeseries Units,Published Timeseries Name,Published Timeseries Name Sightglass,Published Timeseries Unit,ResStock To Published Timeseries Unit Conversion Factor,Notes
Input,building_id,,bldg_id,bldg_id,,,,,,,,,The building unit number (between 1 and the number of samples).
Input,upgrade,,upgrade,upgrade,,,,,,,,,The upgrade number
Input,apply_upgrade.upgrade_name,,upgrade_name,upgrade_name,,,,,,,,,User-specificed name that describes the upgrade.
Input,build_existing_model.sample_weight,,weight,weight,,1,,,,,,,Number of buildings this simulation represents.
Calculated,,,applicability,applicability,,,,,,,,,Whether the upgrade is applicable to the building. Will be always True for baseline.
Output,upgrade_costs.floor_area_conditioned_ft_2,ft^2,in.sqft,in.sqft,ft_2,1,,,,,,,"Floor Area, Conditioned"
Calculated,,,in.representative_income,in.representative_income,usd,,,,,,,,Average representative income of the country
Calculated,,,in.county_name,in.county_name,,,,,,,,,County name
Input,build_existing_model.ahs_region,,in.ahs_region,in.ahs_region,,,,,,,,,:ref:`ahs_region`
Input,build_existing_model.aiannh_area,,in.aiannh_area,in.aiannh_area,,,,,,,,,:ref:`aiannh_area`
Input,build_existing_model.area_median_income,,in.area_median_income,in.area_median_income,,,,,,,,,:ref:`area_median_income`
Input,build_existing_model.ashrae_iecc_climate_zone_2004,,in.ashrae_iecc_climate_zone_2004,in.ashrae_iecc_climate_zone_2004,,,,,,,,,:ref:`ashrae_iecc_climate_zone_2004`
Input,build_existing_model.ashrae_iecc_climate_zone_2004_sub_cz_split,,in.ashrae_iecc_climate_zone_2004_sub_cz_split,in.ashrae_iecc_climate_zone_2004_sub_cz_split,,,,,,,,,:ref:`ashrae_iecc_climate_zone_2004___2_a_split`
Input,build_existing_model.bathroom_spot_vent_hour,,in.bathroom_spot_vent_hour,in.bathroom_spot_vent_hour,,,,,,,,,:ref:`bathroom_spot_vent_hour`
Input,build_existing_model.battery,,in.battery,in.battery,,,,,,,,,:ref:`battery`
Input,build_existing_model.bedrooms,,in.bedrooms,in.bedrooms,,,,,,,,,:ref:`bedrooms`
Input,build_existing_model.building_america_climate_zone,,in.building_america_climate_zone,in.building_america_climate_zone,,,,,,,,,:ref:`building_america_climate_zone`
Input,build_existing_model.cec_climate_zone,,in.cec_climate_zone,in.cec_climate_zone,,,,,,,,,:ref:`cec_climate_zone`
Input,build_existing_model.ceiling_fan,,in.ceiling_fan,in.ceiling_fan,,,,,,,,,:ref:`ceiling_fan`
Input,build_existing_model.census_division,,in.census_division,in.census_division,,,,,,,,,:ref:`census_division`
Input,build_existing_model.census_division_recs,,in.census_division_recs,in.census_division_recs,,,,,,,,,:ref:`census_division_recs`
Input,build_existing_model.census_region,,in.census_region,in.census_region,,,,,,,,,:ref:`census_region`
