Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::ThermalStorageMapper
2,Restaurant 1,URBANopt::Scenario::ThermalStorageMapper
3,Restaurant 10,URBANopt::Scenario::ThermalStorageMapper
4,Residential 1,URBANopt::Scenario::ThermalStorageMapper
5,Residential 2,URBANopt::Scenario::ThermalStorageMapper
6,Residential 3,URBANopt::Scenario::ThermalStorageMapper
7,Office 1,URBANopt::Scenario::ThermalStorageMapper
8,Hospital 1,URBANopt::Scenario::ThermalStorageMapper
9,Hospital 2,URBANopt::Scenario::ThermalStorageMapper
10,Mixed use 2,URBANopt::Scenario::ThermalStorageMapper
11,Restaurant 13,URBANopt::Scenario::ThermalStorageMapper
12,Mall 1,URBANopt::Scenario::ThermalStorageMapper
13,Hotel 1,URBANopt::Scenario::ThermalStorageMapper
