Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::CommercialBaselineMapper
2,Restaurant 1,URBANopt::Scenario::CommercialHighEfficiencyMapper
3,Residential 1,URBANopt::Scenario::CommercialHighEfficiencyMapper
4,Residential 2,URBANopt::Scenario::CommercialHighEfficiencyMapper
5,Residential 4 ,URBANopt::Scenario::CommercialHighEfficiencyMapper
6,Residential 5,URBANopt::Scenario::CommercialHighEfficiencyMapper
7,Office 1,URBANopt::Scenario::CommercialHighEfficiencyMapper
8,Hospital 1,URBANopt::Scenario::CommercialBaselineMapper
9,Hospital 2,URBANopt::Scenario::CommercialBaselineMapper
10,Mixed use 2,URBANopt::Scenario::CommercialBaselineMapper
11,Residential 3,URBANopt::Scenario::CommercialHighEfficiencyMapper
12,Mall 1,URBANopt::Scenario::CommercialBaselineMapper
13,Hotel 1,URBANopt::Scenario::CommercialBaselineMapper
